Bulan,Jabodetabek,NonJabodetabek,Jawa,NonJawa,Kereta Bandara,MRT,LRT,KeretaCepatWhoosh,Tahun
1,14484,3015,17499,238,0,0,0,0,2022
2,10499,2358,12857,210,0,0,0,0,2022
3,15735,3398,19133,305,0,0,0,0,2022
4,15890,3546,19436,277,0,0,0,0,2022
5,17075,6039,23114,480,0,0,0,0,2022
6,18326,4834,23160,452,0,0,0,0,2022
7,19467,5805,25272,469,0,0,0,0,2022
8,19388,4532,23920,368,0,0,0,0,2022
9,20587,4580,25167,400,0,0,0,0,2022
10,21807,5336,27143,467,0,0,0,0,2022
11,21589,4884,26473,451,0,0,0,0,2022
12,23118,6127,29245,579,0,0,0,0,2022
1,22717,5718,28435,582,0,0,0,0,2023
2,20811,4933,25744,515,0,0,0,0,2023
3,23856,5393,29249,571,0,0,0,0,2023
4,21402,6329,27731,594,0,0,0,0,2023
5,23716,6170,29886,648,0,0,0,0,2023
6,23292,6287,29579,658,0,0,0,0,2023
7,25211,7161,32372,576,0,0,0,0,2023
8,24979,5763,30742,581,0,0,0,0,2023
9,25082,5985,31067,451,0,0,0,0,2023
10,26793,6315,33108,480,0,0,0,0,2023
11,26171,6253,32424,486,0,0,0,0,2023
12,26861,7639,34500,559,0,0,0,0,2023
1,26848,6742,33590,512,618,3134,1618,388,2024
2,24617,6780,31397,496,603,2595,1646,429,2024
3,26012,6265,32277,456,578,2876,1762,386,2024
4,25543,8698,34241,585,704,2608,1911,410,2024
5,27057,7608,34665,539,650,3176,2154,520,2024
6,26739,7785,34524,520,655,3475,2178,536,2024
7,29241,8182,37422,533,711,3784,2536,618,2024
8,28209,7083,35292,491,660,3739,2494,554,2024
9,27608,7184,34792,494,698,3556,2412,529,2024
10,29933,7300,37233,519,675,3861,2695,516,2024
11,27522,7327,34849,519,651,3515,2511,547,2024
12,28825,8712,37537,599,775,3591,2703,624,2024
